NUM_GENES	H2GE	EQTL_H2	CORRELATION	NUM_GWAS	LASSO_POWER	PRSCSx_POWER	MAGEPRO_POWER	METRO_POWER	LASSO_ACCURACY	PRSCSx_ACCURACY	MAGEPRO_ACCURACY	METRO_ACCURACY	LASSO_SEM	PRSCSx_SEM	MAGEPRO_SEM	METRO_SEM	LASSO_R2	PRSCSx_R2	MAGEPRO_R2	METRO_R2	LASSO_R2_SEM	PRSCSx_R2_SEM	MAGEPRO_R2_SEM	METRO_R2_SEM
991	0.0001	0.01	0.8	20000	0.0	0.0	0.0	0.0010090817356205853	0.3139244839313259	0.3150218200915581	0.31095366680233	0.3127636264570213	0.015303496045310757	0.015343128621900065	0.015152736956309278	0.015291314717275548	0.007459337730044188	0.007489941693674242	0.0074536213152530915	0.008324289686184256	0.00033819882462996637	0.00033318048002921406	0.00034141691746279295	0.00038093428878851825
991	0.0001	0.01	0.8	100000	0.0010090817356205853	0.0010090817356205853	0.0010090817356205853	0.0	0.3139244839313259	0.3150218200915581	0.31095366680233	0.33868775306356425	0.015303496045310757	0.015343128621900065	0.015152736956309278	0.015914091408481112	0.007459337730044188	0.007489941693674242	0.0074536213152530915	0.008676379907703728	0.00033819882462996637	0.00033318048002921406	0.00034141691746279295	0.00037115026469743947
990	0.0001	0.01	0.8	600000	0.051515151515151514	0.04141414141414142	0.048484848484848485	0.44646464646464645	0.3143918392333218	0.31553880337892304	0.3114171721514012	0.35873833692688695	0.015324296647647234	0.015362424419922052	0.015173309544887893	0.01596672651803733	0.007463012439744066	0.007495389819974386	0.007457347738892915	0.010054687355355954	0.0003385206277105517	0.0003334726045698036	0.0003417416000463018	0.00040611508923773946
0	0.0001	0.05	0.2	20000																				
0	0.0001	0.05	0.2	100000																				
0	0.0001	0.05	0.2	600000																				
964	0.0001	0.05	0.8	20000	0.0	0.0	0.0	0.0	0.3857365410762439	0.38521491664187985	0.4190860558569665	0.3511558254861516	0.012940006366246256	0.012959271914549549	0.013281418075157585	0.012328228937829208	0.019720232319570992	0.019364811451970488	0.022442614471564915	0.01611171227126568	0.0007517280974555958	0.0007303564809453264	0.0007996382745369308	0.0005957203535438379
965	0.0001	0.05	0.8	100000	0.017616580310880828	0.013471502590673576	0.02072538860103627	0.0010362694300518134	0.3867954638355797	0.386311015539508	0.42012237480181736	0.41571943511403675	0.01294178953902925	0.012959786675416883	0.013278817722144998	0.012967290187890104	0.01974912472380674	0.019388211063628584	0.022469073709693723	0.020793452304606143	0.0007516290562982242	0.0007299109027354539	0.0007993262454730134	0.0007031557675340763
964	0.0001	0.05	0.8	600000	0.3900414937759336	0.3962655601659751	0.46473029045643155	0.5601659751037344	0.3849521142817361	0.384675216538167	0.41828394658604373	0.5562772862729752	0.01294167565229013	0.012972063852062838	0.0132851852709659	0.012809686205552	0.019644166431858054	0.019296808454235714	0.022360870408155573	0.031055257966575246	0.0007496726785518406	0.0007287991853272378	0.0007976772625375223	0.0008327170997936361
0	0.0001	0.1	0.2	20000																				
0	0.0001	0.1	0.2	100000																				
0	0.0001	0.1	0.2	600000																				
786	0.0001	0.1	0.8	20000	0.002544529262086514	0.002544529262086514	0.005089058524173028	0.001272264631043257	0.6409657172639638	0.6240029114062332	0.6820192663674246	0.42264269080288874	0.01241747221844338	0.012716799099030646	0.012142325692989153	0.012656879401400195	0.06293932273890535	0.060640814199666916	0.0694549405415777	0.03381291164952888	0.001551846874366719	0.001540378620582017	0.0015959930170635602	0.001099911020763823
788	0.0001	0.1	0.8	100000	0.05710659898477157	0.050761421319796954	0.06725888324873096	0.005076142131979695	0.6400434288629812	0.6220137474539692	0.6799075586420618	0.5224660393051699	0.012395276890245078	0.012694456822070386	0.01213982859577971	0.012597233849270736	0.06276398244787883	0.06041105365016048	0.06922485681662255	0.04288187090167932	0.001543260701644894	0.0015332320392818911	0.001591842591765572	0.0011807213421466893
782	0.0001	0.1	0.8	600000	0.80306905370844	0.7864450127877238	0.8491048593350383	0.670076726342711	0.641571639257052	0.6242447232405358	0.6824728070281292	0.6688585723880142	0.012434808623616565	0.012723462553956752	0.012175562201063332	0.011512075925790762	0.06303122169919766	0.060680656808783165	0.06952928084200184	0.062104922887352455	0.0015544064070100324	0.0015406013277653719	0.0015992594490484102	0.001299733117484771
0	0.001	0.01	0.2	20000																				
0	0.001	0.01	0.2	100000																				
0	0.001	0.01	0.2	600000																				
988	0.001	0.01	0.8	20000	0.005060728744939271	0.004048582995951417	0.006072874493927126	0.008097165991902834	0.32812804554337915	0.32614330582501666	0.3295405680773935	0.3465458903204416	0.015926238808923826	0.016034830118017197	0.01593232753524441	0.01588663731263832	0.007044327147064226	0.007110990484798757	0.0069308127046856126	0.008906184006052269	0.00031814591985370377	0.00032002804112825475	0.0003101057053076092	0.0003776194199906843
990	0.001	0.01	0.8	100000	0.10909090909090909	0.10303030303030303	0.1111111111111111	0.8757575757575757	0.32727093047616934	0.3252663691644232	0.3286876438729183	0.41592453246700073	0.015880570701972803	0.01598927192832314	0.01588695021498374	0.017038406828858016	0.007040009613538956	0.007105939815360984	0.00692715581898847	0.01113173332464337	0.00031758555163968185	0.0003194688009188801	0.00030957509461741083	0.0004463072528599342
990	0.001	0.01	0.8	600000	0.42424242424242425	0.42525252525252527	0.4494949494949495	1.0	0.32727093047616934	0.3252663691644232	0.3286876438729183	0.44827203665359167	0.015880570701972803	0.01598927192832314	0.01588695021498374	0.017519000369266312	0.007040009613538956	0.007105939815360984	0.00692715581898847	0.013931444301389682	0.00031758555163968185	0.0003194688009188801	0.00030957509461741083	0.0005269427504776642
0	0.001	0.05	0.2	20000																				
0	0.001	0.05	0.2	100000																				
0	0.001	0.05	0.2	600000																				
956	0.001	0.05	0.8	20000	0.08786610878661087	0.0794979079497908	0.11506276150627615	0.027196652719665274	0.4131605375343925	0.41197034998573484	0.439797570759843	0.4754905753615546	0.013055685991911788	0.013123439886851917	0.01327007538608645	0.013040907157897793	0.020921389953544752	0.02033717114348664	0.02287549900042936	0.02395819940928983	0.000765381683306009	0.0007451395822723129	0.0008170166730050863	0.0007706976636252146
954	0.001	0.05	0.8	100000	0.550314465408805	0.5450733752620545	0.60062893081761	0.9423480083857443	0.41414728663812894	0.412958191362068	0.44083318619987516	0.6062255173414769	0.013069919428329024	0.01313788327627671	0.01328330308681846	0.012802418688944127	0.020959186864893432	0.020374419998386562	0.022914893122869283	0.034552752967634395	0.0007665142602980452	0.0007462267362017818	0.0008182534359898007	0.0008906012688194224
955	0.001	0.05	0.8	600000	0.8806282722513089	0.8973821989528796	0.9214659685863874	1.0	0.4134604376617564	0.4122636228548828	0.44023482900483124	0.7005772853300548	0.013068690013440224	0.013136697108646648	0.013279583845301708	0.011917354149412019	0.020927545415756983	0.02034234843389828	0.022891118065128124	0.04530685202659696	0.0007661587716374478	0.0007459022369020014	0.0008177231698279185	0.0009734536266640145
0	0.001	0.1	0.2	20000																				
0	0.001	0.1	0.2	100000																				
0	0.001	0.1	0.2	600000																				
807	0.001	0.1	0.8	20000	0.20693928128872366	0.21189591078066913	0.265179677819083	0.04708798017348203	0.6248100311605399	0.6057215041053243	0.6579668087365154	0.5728276270375754	0.012387288635375282	0.012600502466952683	0.012289028511066813	0.012066169134823407	0.05854930845188363	0.05666944676169734	0.06410859067136886	0.048983577894806535	0.0014839172135761517	0.001492767171669803	0.0015326815973009402	0.0011805709442530073
